date;varname_eng2;district_ukr;cases_per_day;per_current_population;Наявне населення;per_population;"Постійне населення

";source
21.08.2020;Holosiivskyi;Голосіївський;914;278,261488;254331;275,9660832;252233;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Darnytskyi;Дарницький;1876;185,29371;347611;181,8294243;341112;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Desnianskyi;Деснянський;1378;267,8918723;369155;265,7946299;366265;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Dniprovskyi;Дніпровський;1333;268,8312078;358352;267,5341335;356623;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Obolonskyi;Оболонський;1008;316,4365079;318968;313,5853175;316094;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Pecherskyi;Печерський;1001;163,1008991;163264;158,3826174;158541;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Podilskyi;Подільський;697;299,0659971;208449;294,1736011;205039;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Sviatoshynskyi;Святошинський;979;349,8917263;342544;343,8447395;336624;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Solomianskyi;Солом'янський;1240;309,1830645;383387;307,5330645;381341;https://www.pravda.com.ua/news/2020/08/21/7263737/
21.08.2020;Shevchenkivskyi;Шевченківський;902;242,7405765;218952;232,631929;209834;https://www.pravda.com.ua/news/2020/08/21/7263737/
27.08.2020;Holosiivskyi;Голосіївський;985;258,2040609;254331;256,0741117;252233;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
27.08.2020;Darnytskyi;Дарницький;2013;172,6830601;347611;169,4545455;341112;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
27.08.2020;Desnianskyi;Деснянський;1551;238,0109607;369155;236,1476467;366265;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
27.08.2020;Dniprovskyi;Дніпровський;1480;242,1297297;358352;240,9614865;356623;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
27.08.2020;Obolonskyi;Оболонський;1135;281,0290749;318968;278,4969163;316094;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
27.08.2020;Pecherskyi;Печерський;1086;150,335175;163264;145,9861878;158541;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
27.08.2020;Podilskyi;Подільський;799;260,8873592;208449;256,6195244;205039;https://www.facebook.com/merkieva/photos/a.819563851387897/4798771890133720
